Country,Region,Year,Population,Life.Expectancy,Health.Expenditure
Alabama,Europe & Central Asia,2007,4672840,811,"245,355"
Alaska,Middle East & North Africa,2007,680300,119,"49,604"
Arizona,Sub-Saharan Africa,2007,6167681,937,"192,071"
Arkansas,Latin America & Caribbean,2007,2848650,418,"169,824"
California,Europe & Central Asia,2007,36250311,3188,"855,943"
Colorado,East Asia & Pacific,2007,4803868,487,"221,737"
Connecticut,Europe & Central Asia,2007,3527270,145,"116,112"
Delaware,Europe & Central Asia,2007,871749,76,"15,912"
District of Columbia,Latin America & Caribbean,2007,574404,139,136
Florida,Middle East & North Africa,2007,18367842,2251,"426,180"
Georgia,South Asia,2007,9349988,1234,"270,468"
Hawaii,Latin America & Caribbean,2007,1315675,27,"6,521"
Idaho,Europe & Central Asia,2007,1505105,176,"93,897"
Illinois,Europe & Central Asia,2007,12695866,1019,"536,975"
Indiana,Latin America & Caribbean,2007,6379599,658,"186,864"
Iowa,Sub-Saharan Africa,2007,2999212,151,"98,888"
Kansas,South Asia,2007,2783785,284,"111,502"
Kentucky,Latin America & Caribbean,2007,4256672,604,"1,587,850"
Louisiana,Europe & Central Asia,2007,4375581,859,"208,201"
Maine,Sub-Saharan Africa,2007,1327040,105,"51,279"
Maryland,Latin America & Caribbean,2007,5653408,657,"80,249"
Massachusetts,East Asia & Pacific,2007,6431559,229,"165,446"
Michigan,Europe & Central Asia,2007,10001284,1076,"311,851"
Minnesota,Sub-Saharan Africa,2007,5207203,335,"248,086"
Mississippi,Sub-Saharan Africa,2007,2928350,526,"175,298"
Missouri,East Asia & Pacific,2007,5887612,752,"274,085"
Montana,Sub-Saharan Africa,2007,964706,135,"90,355"
Nebraska,North America,2007,1783440,132,"52,042"
Nevada,Sub-Saharan Africa,2007,2601072,401,"70,276"
New Hampshire,Sub-Saharan Africa,2007,1312540,71,"65,110"
New Jersey,Sub-Saharan Africa,2007,8677885,441,"36,412"
New Mexico,Latin America & Caribbean,2007,1990070,287,"93,304"
New York,East Asia & Pacific,2007,19132335,963,"212,174"
North Carolina,Latin America & Caribbean,2007,9118037,1103,"289,215"
North Dakota,Sub-Saharan Africa,2007,652822,49,"42,311"
Ohio,Sub-Saharan Africa,2007,11500468,1086,"326,114"
Oklahoma,Sub-Saharan Africa,2007,3634349,466,"189,081"
Oregon,Latin America & Caribbean,2007,3722417,370,"162,629"
Pennsylvania,Sub-Saharan Africa,2007,12563937,1309,"562,603"
Rhode Island,Europe & Central Asia,2007,1057315,37,"10,222"
South Carolina,Latin America & Caribbean,2007,4444110,580,"150,133"
South Dakota,Europe & Central Asia,2007,791623,44,"54,013"
Tennessee,Europe & Central Asia,2007,6175727,922,"241,741"
Texas,Europe & Central Asia,2007,23831983,2537,"783,596"
Utah,Middle East & North Africa,2007,2597746,237,"127,051"
Vermont,Latin America & Caribbean,2007,623481,43,"19,951"
Virginia,Latin America & Caribbean,2007,7751000,805,"241,538"
Washington,Middle East & North Africa,2007,6461587,537,"276,156"
West Virginia,Latin America & Caribbean,2007,1834052,264,"132,396"
Wisconsin,Sub-Saharan Africa,2007,5610775,470,"180,607"
Wyoming,Sub-Saharan Africa,2007,534876,67,"42,770"
Alabama,Europe & Central Asia,2008,4718206,819,"299,432"
Alaska,Sub-Saharan Africa,2008,687455,131,"61,729"
Arizona,East Asia & Pacific,2008,6280362,898,"208,721"
Arkansas,Europe & Central Asia,2008,2874554,437,"191,799"
California,Europe & Central Asia,2008,36604337,3101,"780,398"
Colorado,Sub-Saharan Africa,2008,4889730,496,"285,521"
Connecticut,Sub-Saharan Africa,2008,3545579,196,"155,885"
Delaware,Europe & Central Asia,2008,883874,95,"18,102"
District of Columbia,Europe & Central Asia,2008,580236,134,259
Florida,Sub-Saharan Africa,2008,18527305,2316,"503,672"
Georgia,Europe & Central Asia,2008,9504843,1162,"367,374"
Hawaii,Latin America & Caribbean,2008,1332213,39,"8,569"
Idaho,Latin America & Caribbean,2008,1534320,162,"100,457"
Illinois,Sub-Saharan Africa,2008,12747038,1087,"615,941"
Indiana,Sub-Saharan Africa,2008,6424806,716,"219,900"
Iowa,Latin America & Caribbean,2008,3016734,214,"108,330"
Kansas,Latin America & Caribbean,2008,2808076,273,"126,084"
Kentucky,Latin America & Caribbean,2008,4289878,571,"1,881,101"
Louisiana,Europe & Central Asia,2008,4435586,814,"248,355"
Maine,Europe & Central Asia,2008,1330509,115,"56,561"
Maryland,South Asia,2008,5684965,642,"89,583"
Massachusetts,East Asia & Pacific,2008,6468967,216,"119,859"
Michigan,Middle East & North Africa,2008,9946889,1070,"357,335"
Minnesota,Europe & Central Asia,2008,5247018,360,"277,175"
Mississippi,Middle East & North Africa,2008,2947806,553,"181,068"
Missouri,Europe & Central Asia,2008,5923916,807,"321,487"
Montana,Latin America & Caribbean,2008,976415,148,"97,599"
Nebraska,East Asia & Pacific,2008,1796378,147,"56,589"
Nevada,Middle East & North Africa,2008,2653630,391,"95,252"
New Hampshire,Europe & Central Asia,2008,1315906,85,"67,293"
New Jersey,Sub-Saharan Africa,2008,8711090,419,"40,525"
New Mexico,East Asia & Pacific,2008,2010662,281,"106,131"
New York,East Asia & Pacific,2008,19212436,948,"221,920"
North Carolina,Middle East & North Africa,2008,9309449,1149,"347,473"
North Dakota,Europe & Central Asia,2008,657569,55,"46,832"
Ohio,East Asia & Pacific,2008,11515391,1098,"350,014"
Oklahoma,Europe & Central Asia,2008,3668976,505,"221,612"
Oregon,Middle East & North Africa,2008,3768748,368,"179,887"
Pennsylvania,Sub-Saharan Africa,2008,12612285,1326,"598,544"
Rhode Island,Sub-Saharan Africa,2008,1055003,42,"12,405"
South Carolina,Middle East & North Africa,2008,4528996,606,"184,941"
South Dakota,Europe & Central Asia,2008,799124,78,"62,489"
