"","Country","Region","Year","Population","Life.Expectancy","Health.Expenditure"
"1","Albania","Europe & Central Asia",1995,3141102,71.87029268,28.22458703
"2","Algeria","Middle East & North Africa",1995,28291591,68.46587805,62.05589356
"3","Angola","Sub-Saharan Africa",1995,12105105,42.05092683,20.74862862
"4","Argentina","Latin America & Caribbean",1995,34855160,72.62363415,615.4142626
"5","Armenia","Europe & Central Asia",1995,3223173,68.62046341,25.73810058
"6","Australia","East Asia & Pacific",1995,18072000,77.82926829,1564.944285
"7","Austria","Europe & Central Asia",1995,7948278,76.71560976,2876.079792
"8","Azerbaijan","Europe & Central Asia",1995,7685000,64.57582927,18.03309964
"9","Bahamas, The","Latin America & Caribbean",1995,279774,70.05636585,839.6062536
"10","Bahrain","Middle East & North Africa",1995,559069,73.14702439,481.8814347
"11","Bangladesh","South Asia",1995,117486952,62.12268293,11.37605806
"12","Barbados","Latin America & Caribbean",1995,263416,74.95936585,450.1055365
"13","Belarus","Europe & Central Asia",1995,10194000,68.46097561,69.12993509
"14","Belgium","Europe & Central Asia",1995,10136811,76.84073171,2136.333514
"15","Belize","Latin America & Caribbean",1995,216500,73.12760976,120.4951841
"16","Benin","Sub-Saharan Africa",1995,5651141,50.94126829,18.01648902
"17","Bhutan","South Asia",1995,518584,56.72339024,22.42654267
"18","Bolivia","Latin America & Caribbean",1995,7470925,61.09587805,40.17792593
"19","Bosnia and Herzegovina","Europe & Central Asia",1995,3332098,68.06819512,63.79041661
"20","Botswana","Sub-Saharan Africa",1995,1585637,59.19780488,124.7782423
"21","Brazil","Latin America & Caribbean",1995,161848162,68.34063415,316.0568547
"22","Brunei Darussalam","East Asia & Pacific",1995,289614,74.96741463,481.6751383
"23","Bulgaria","Europe & Central Asia",1995,8406067,71.05341463,81.61512375
"24","Burkina Faso","Sub-Saharan Africa",1995,10692138,48.9797561,10.7241997
"25","Burundi","Sub-Saharan Africa",1995,6086751,44.5885122,9.0893498
"26","Cambodia","East Asia & Pacific",1995,11169233,56.06526829,18.97864601
"27","Cameroon","Sub-Saharan Africa",1995,13940337,51.99190244,25.1337447
"28","Canada","North America",1995,29354000,77.97756098,1820.609018
"29","Cape Verde","Sub-Saharan Africa",1995,394946,67.18231707,65.67099483
"30","Central African Republic","Sub-Saharan Africa",1995,3327710,46.10629268,13.03604562
"31","Chad","Sub-Saharan Africa",1995,6998108,49.84973171,11.93950919
"32","Chile","Latin America & Caribbean",1995,14409416,75.04146341,331.1584012
"33","China","East Asia & Pacific",1995,1204855000,70.42473171,21.14285568
"34","Colombia","Latin America & Caribbean",1995,36453337,69.43668293,171.4598483
"35","Comoros","Sub-Saharan Africa",1995,494486,56.70980488,21.87714413
"36","Congo, Dem. Rep.","Sub-Saharan Africa",1995,44067369,45.87880488,4.601678261
"37","Congo, Rep.","Sub-Saharan Africa",1995,2732706,54.60939024,24.49238466
"38","Costa Rica","Latin America & Caribbean",1995,3468918,76.80880488,219.9462904
"39","Cote d'Ivoire","Sub-Saharan Africa",1995,14677200,51.05136585,37.92612511
"40","Croatia","Europe & Central Asia",1995,4669000,72.08439024,323.3719068
"41","Cuba","Latin America & Caribbean",1995,10900795,75.2067561,111.8448017
"42","Cyprus","Europe & Central Asia",1995,855424,77.26231707,706.3804455
"43","Czech Republic","Europe & Central Asia",1995,10327253,73.07487805,374.4310488
"44","Denmark","Europe & Central Asia",1995,5233373,75.21268293,2827.299759
"45","Djibouti","Middle East & North Africa",1995,626537,52.62419512,31.99253183
"46","Dominican Republic","Latin America & Caribbean",1995,7916309,69.59173171,108.3197485
"47","Ecuador","Latin America & Caribbean",1995,11384506,71.252,72.90344452
"48","Egypt, Arab Rep.","Middle East & North Africa",1995,62063810,65.59346341,37.44267234
"49","El Salvador","Latin America & Caribbean",1995,5733401,68.91380488,105.6978223
"50","Equatorial Guinea","Sub-Saharan Africa",1995,442527,48.24260976,21.83153613
"51","Eritrea","Sub-Saharan Africa",1995,3212503,52.40460976,8.433300418
"52","Estonia","Europe & Central Asia",1995,1436634,67.54390244,164.7858513
"53","Ethiopia","Sub-Saharan Africa",1995,57042197,49.31363415,3.805632427
"54","Fiji","East Asia & Pacific",1995,775651,66.63890244,77.74015923
"55","Finland","Europe & Central Asia",1995,5107790,76.4095122,2010.204221
"56","France","Europe & Central Asia",1995,59555439,77.75121951,2741.333692
"57","Gabon","Sub-Saharan Africa",1995,1087327,61.09760976,136.3501403
"58","Gambia, The","Sub-Saharan Africa",1995,1126183,53.71353659,22.73855825
"59","Georgia","Europe & Central Asia",1995,4734000,70.49026829,29.01632333
"60","Germany","Europe & Central Asia",1995,81678051,76.42195122,3124.275511
"61","Ghana","Sub-Saharan Africa",1995,16996901,57.99292683,19.96894909
"62","Greece","Europe & Central Asia",1995,10634385,77.58536585,1063.911422
"63","Grenada","Latin America & Caribbean",1995,100163,71.68536585,190.5235207
"64","Guatemala","Latin America & Caribbean",1995,10015675,64.98639024,53.7335983
"65","Guinea","Sub-Saharan Africa",1995,7565235,45.65185366,27.0584614
"66","Guinea-Bissau","Sub-Saharan Africa",1995,1125392,43.67529268,25.50951017
"67","Guyana","Latin America & Caribbean",1995,727979,62.2924878,43.26337355
"68","Haiti","Latin America & Caribbean",1995,7877569,57.14607317,22.59973072
"69","Honduras","Latin America & Caribbean",1995,5575099,68.607,37.91905487
"70","Hungary","Europe & Central Asia",1995,10328965,69.79170732,323.2269577
"71","Iceland","Europe & Central Asia",1995,267468,77.98439024,2213.016501
"72","India","South Asia",1995,964486155,59.83156098,15.73572481
"73","Indonesia","East Asia & Pacific",1995,199400339,63.97770732,19.8062839
"74","Iran, Islamic Rep.","Middle East & North Africa",1995,59757114,68.15446341,68.23097353
"75","Ireland","Europe & Central Asia",1995,3608841,75.57085366,1237.505598
"76","Israel","Middle East & North Africa",1995,5545000,77.45121951,1324.920705
"77","Italy","Europe & Central Asia",1995,56844303,78.01439024,1437.511637
"78","Jamaica","Latin America & Caribbean",1995,2480000,70.26346341,96.62362412
"79","Japan","East Asia & Pacific",1995,125439000,79.53634146,2891.413366
"80","Jordan","Middle East & North Africa",1995,4195000,71.4124878,127.1383081
"81","Kazakhstan","Europe & Central Asia",1995,15815626.38,64.9195122,48.24822076
"82","Kenya","Sub-Saharan Africa",1995,27425720,56.14921951,14.03375221
"83","Kiribati","East Asia & Pacific",1995,77248,59.43902439,70.39449176
"84","Korea, Rep.","East Asia & Pacific",1995,45093000,73.39439024,441.894088
"85","Kuwait","Middle East & North Africa",1995,1627911,73.29421951,628.1961821
"86","Kyrgyz Republic","Europe & Central Asia",1995,4560400,65.7902439,22.32242556
"87","Lao PDR","East Asia & Pacific",1995,4795112,58.18214634,15.25084643
"88","Latvia","Europe & Central Asia",1995,2485056,66.39121951,115.3385002
"89","Lebanon","Middle East & North Africa",1995,3462974,69.84007317,360.9360079
"90","Lesotho","Sub-Saharan Africa",1995,1794531,56.93787805,36.62989499
"91","Liberia","Sub-Saharan Africa",1995,2094591,42.247,0
"92","Libya","Middle East & North Africa",1995,4775009,70.65312195,187.0684146
"93","Lithuania","Europe & Central Asia",1995,3629102,69.00634146,99.68036152
"94","Luxembourg","Europe & Central Asia",1995,408625,76.51219512,2815.880294
"95","Macedonia, FYR","Europe & Central Asia",1995,1963484,72.0875122,200.7193262
"96","Madagascar","Sub-Saharan Africa",1995,13129227,54.85473171,6.736196001
"97","Malawi","Sub-Saharan Africa",1995,9883350,46.64268293,7.134838273
"98","Malaysia","East Asia & Pacific",1995,20720810,71.16343902,124.0931647
"99","Maldives","South Asia",1995,248712,65.25373171,90.72809102
"100","Mali","Sub-Saharan Africa",1995,9824510,45.6975122,14.41308033
"101","Malta","Middle East & North Africa",1995,370433,77.14390244,591.2562821
"102","Mauritania","Sub-Saharan Africa",1995,2292053,56.65270732,29.44986431
"103","Mauritius","Sub-Saharan Africa",1995,1122457,70.32585366,128.5976076
"104","Mexico","Latin America & Caribbean",1995,92272749,72.73763415,177.2120845
"105","Micronesia, Fed. Sts.","East Asia & Pacific",1995,107233,66.7597561,189.069848
"106","Moldova","Europe & Central Asia",1995,3675099,66.71587805,30.02743236
"107","Mongolia","East Asia & Pacific",1995,2306131,61.26156098,19.83732627
"108","Montenegro","Europe & Central Asia",1995,643227,75.80412195,134.2495574
"109","Morocco","Middle East & North Africa",1995,26928600,66.61331707,47.87337522
"110","Mozambique","Sub-Saharan Africa",1995,15933452,45.41095122,7.621471708
"111","Myanmar","East Asia & Pacific",1995,42133199,60.07834146,2.559207131
"112","Namibia","Sub-Saharan Africa",1995,1651352,60.36073171,131.3904283
"113","Nepal","South Asia",1995,21594872,57.46863415,10.3941506
"114","Netherlands","Europe & Central Asia",1995,15459006,77.40463415,2256.667297
"115","New Zealand","East Asia & Pacific",1995,3673400,76.73414634,1188.858081
"116","Nicaragua","Latin America & Caribbean",1995,4637040,67.30419512,57.76637932
"117","Niger","Sub-Saharan Africa",1995,9178575,44.4775122,7.027463053
"118","Nigeria","Sub-Saharan Africa",1995,110014688,45.11570732,37.62323656
"119","Norway","Europe & Central Asia",1995,4359184,77.73658537,3122.078999
"120","Oman","Middle East & North Africa",1995,2232018,73.04302439,222.8874855
"121","Pakistan","South Asia",1995,127346713,62.04573171,15.16170985
"122","Palau","East Asia & Pacific",1995,17254,71.84463415,724.5260282
"123","Panama","Latin America & Caribbean",1995,2676926,73.28321951,228.0227395
"124","Papua New Guinea","East Asia & Pacific",1995,4715617,57.35195122,35.95514202
"125","Paraguay","Latin America & Caribbean",1995,4795365,68.88021951,111.9301481
"126","Peru","Latin America & Caribbean",1995,23827163,67.98478049,100.8185044
"127","Philippines","East Asia & Pacific",1995,69255386,66.01853659,36.91565447
"128","Poland","Europe & Central Asia",1995,38594998,71.89268293,198.9525321
"129","Portugal","Europe & Central Asia",1995,10030376,75.31219512,873.8012851
"130","Qatar","Middle East & North Africa",1995,501371,75.28273171,601.2919169
"131","Romania","Europe & Central Asia",1995,22684270,69.45609756,53.46326946
"132","Russian Federation","Europe & Central Asia",1995,148141000,65.22121951,112.9984123
"133","Rwanda","Sub-Saharan Africa",1995,5570206,30.47317073,10.3458127
"134","Samoa","East Asia & Pacific",1995,168257,67.51502439,55.92837495
"135","Sao Tome and Principe","Sub-Saharan Africa",1995,127935,61.6612439,58.91974358
"136","Saudi Arabia","Middle East & North Africa",1995,18491845,70.47268293,227.993044
"137","Senegal","Sub-Saharan Africa",1995,8369125,54.36307317,22.93506421
"138","Sierra Leone","Sub-Saharan Africa",1995,3898363,37.20870732,34.18819945
"139","Singapore","East Asia & Pacific",1995,3524500,76.39512195,379.1411429
"140","Slovak Republic","Europe & Central Asia",1995,5361999,72.25365854,221.4541447
"141","Slovenia","Europe & Central Asia",1995,1989872,73.95853659,785.0682234
"142","Solomon Islands","East Asia & Pacific",1995,356404,59.69595122,47.31181921
"143","Somalia","Sub-Saharan Africa",1995,6524697,44.71217073,4.617992892
"144","South Africa","Sub-Saharan Africa",1995,39120000,59.88741463,270.9442208
"145","Spain","Europe & Central Asia",1995,39387017,77.98073171,1127.904409
"146","Sri Lanka","South Asia",1995,18136000,69.22885366,24.50414947
"147","St. Lucia","Latin America & Caribbean",1995,145437,71.43414634,181.0605384
"148","St. Vincent and the Grenadines","Latin America & Caribbean",1995,108087,70.01841463,109.9173002
"149","Sudan","Sub-Saharan Africa",1995,24538815,54.29097561,15.50589319
"150","Suriname","Latin America & Caribbean",1995,435920,67.80585366,82.49559126
"151","Swaziland","Sub-Saharan Africa",1995,963591,56.39373171,87.45248949
"152","Sweden","Europe & Central Asia",1995,8826939,78.7404878,2288.950104
"153","Switzerland","Europe & Central Asia",1995,7040687,78.41707317,4270.824645
"154","Syrian Arab Republic","Middle East & North Africa",1995,14171130,72.83553659,51.69369976
"155","Tajikistan","Europe & Central Asia",1995,5775404,62.37460976,3.05721148
"156","Tanzania","Sub-Saharan Africa",1995,29943732,49.5737561,6.282208132
"157","Thailand","East Asia & Pacific",1995,59650157,72.26117073,99.47389707
"158","Togo","Sub-Saharan Africa",1995,4085492,54.05009756,17.29147986
"159","Tonga","East Asia & Pacific",1995,95907,70.11926829,87.23481575
"160","Trinidad and Tobago","Latin America & Caribbean",1995,1261443,68.99709756,198.1865467
"161","Tunisia","Middle East & North Africa",1995,8957500,71.35365854,129.5635684
"162","Turkey","Europe & Central Asia",1995,58864649,66.07309756,95.49118806
"163","Turkmenistan","Europe & Central Asia",1995,4188010,63.03073171,43.02047946
"164","Uganda","Sub-Saharan Africa",1995,20831075,44.86529268,15.30524819
"165","Ukraine","Europe & Central Asia",1995,51512298.61,67.11707317,49.06154122
"166","United Arab Emirates","Middle East & North Africa",1995,2348539,73.43485366,737.9431078
"167","United Kingdom","Europe & Central Asia",1995,58019030,76.83658537,1362.195446
"168","United States","North America",1995,266278000,75.62195122,3747.692121
"169","Uruguay","Latin America & Caribbean",1995,3223401,73.47626829,934.1144209
"170","Uzbekistan","Europe & Central Asia",1995,22785000,66.31760976,28.65832202
"171","Vanuatu","East Asia & Pacific",1995,168263,65.45934146,43.21763981
"172","Venezuela, RB","Latin America & Caribbean",1995,22043000,72.1695122,143.865097
