Year,State,Region,Population,Mortality,,Bchecks,,,,,,,,,,,,,,
2007,Alabama,South Region,4672840,811,"245,355",245.355,,,,,,,,,,,,,,
2007,Alaska,West Region,680300,119,"49,604",49.604,,,,,,,,,,,,,,
2007,Arizona,West Region,6167681,937,"192,071",192.071,,,,,,,,,,,,,,
2007,Arkansas,South Region,2848650,418,"169,824",169.824,,,,,,,,,,,,,,
2007,California,West Region,36250311,3188,"855,943",855.943,,,,,,,,,,,,,,
2007,Colorado,West Region,4803868,487,"221,737",221.737,,,,,,,,,,,,,,
2007,Connecticut,Northeast Region,3527270,145,"116,112",116.112,,,,,,,,,,,,,,
2007,Delaware,South Region,871749,76,"15,912",15.912,,,,,,,,,,,,,,
2007,District of Columbia,South Region,574404,139,136,0.136,,,,,,,,,,,,,,
2007,Florida,South Region,18367842,2251,"426,180",426.18,,,,,,,,,,,,,,
2007,Georgia,South Region,9349988,1234,"270,468",270.468,,,,,,,,,,,,,,
2007,Hawaii,West Region,1315675,27,"6,521",6.521,,,,,,,,,,,,,,
2007,Idaho,West Region,1505105,176,"93,897",93.897,,,,,,,,,,,,,,
2007,Illinois,Midwest Region,12695866,1019,"536,975",536.975,,,,,,,,,,,,,,
2007,Indiana,Midwest Region,6379599,658,"186,864",186.864,,,,,,,,,,,,,,
2007,Iowa,Midwest Region,2999212,151,"98,888",98.888,,,,,,,,,,,,,,
2007,Kansas,Midwest Region,2783785,284,"111,502",111.502,,,,,,,,,,,,,,
2007,Kentucky,South Region,4256672,604,"1,587,850",1587.85,,,,,,,,,,,,,,
2007,Louisiana,South Region,4375581,859,"208,201",208.201,,,,,,,,,,,,,,
2007,Maine,Northeast Region,1327040,105,"51,279",51.279,,,,,,,,,,,,,,
2007,Maryland,South Region,5653408,657,"80,249",80.249,,,,,,,,,,,,,,
2007,Massachusetts,Northeast Region,6431559,229,"165,446",165.446,,,,,,,,,,,,,,
2007,Michigan,Midwest Region,10001284,1076,"311,851",311.851,,,,,,,,,,,,,,
2007,Minnesota,Midwest Region,5207203,335,"248,086",248.086,,,,,,,,,,,,,,
2007,Mississippi,South Region,2928350,526,"175,298",175.298,,,,,,,,,,,,,,
2007,Missouri,Midwest Region,5887612,752,"274,085",274.085,,,,,,,,,,,,,,
2007,Montana,West Region,964706,135,"90,355",90.355,,,,,,,,,,,,,,
2007,Nebraska,Midwest Region,1783440,132,"52,042",52.042,,,,,,,,,,,,,,
2007,Nevada,West Region,2601072,401,"70,276",70.276,,,,,,,,,,,,,,
2007,New Hampshire,Northeast Region,1312540,71,"65,110",65.11,,,,,,,,,,,,,,
2007,New Jersey,Northeast Region,8677885,441,"36,412",36.412,,,,,,,,,,,,,,
2007,New Mexico,West Region,1990070,287,"93,304",93.304,,,,,,,,,,,,,,
2007,New York,Northeast Region,19132335,963,"212,174",212.174,,,,,,,,,,,,,,
2007,North Carolina,South Region,9118037,1103,"289,215",289.215,,,,,,,,,,,,,,
2007,North Dakota,Midwest Region,652822,49,"42,311",42.311,,,,,,,,,,,,,,
2007,Ohio,Midwest Region,11500468,1086,"326,114",326.114,,,,,,,,,,,,,,
2007,Oklahoma,South Region,3634349,466,"189,081",189.081,,,,,,,,,,,,,,
2007,Oregon,West Region,3722417,370,"162,629",162.629,,,,,,,,,,,,,,
2007,Pennsylvania,Northeast Region,12563937,1309,"562,603",562.603,,,,,,,,,,,,,,
2007,Rhode Island,Northeast Region,1057315,37,"10,222",10.222,,,,,,,,,,,,,,
2007,South Carolina,South Region,4444110,580,"150,133",150.133,,,,,,,,,,,,,,
2007,South Dakota,Midwest Region,791623,44,"54,013",54.013,,,,,,,,,,,,,,
2007,Tennessee,South Region,6175727,922,"241,741",241.741,,,,,,,,,,,,,,
2007,Texas,South Region,23831983,2537,"783,596",783.596,,,,,,,,,,,,,,
2007,Utah,West Region,2597746,237,"127,051",127.051,,,,,,,,,,,,,,
2007,Vermont,Northeast Region,623481,43,"19,951",19.951,,,,,,,,,,,,,,
2007,Virginia,South Region,7751000,805,"241,538",241.538,,,,,,,,,,,,,,
2007,Washington,West Region,6461587,537,"276,156",276.156,,,,,,,,,,,,,,
2007,West Virginia,South Region,1834052,264,"132,396",132.396,,,,,,,,,,,,,,
2007,Wisconsin,Midwest Region,5610775,470,"180,607",180.607,,,,,,,,,,,,,,
2007,Wyoming,West Region,534876,67,"42,770",42.77,,,,,,,,,,,,,,
2008,Alabama,South Region,4718206,819,"299,432",299.432,,,,,,,,,,,,,,
2008,Alaska,West Region,687455,131,"61,729",61.729,,,,,,,,,,,,,,
2008,Arizona,West Region,6280362,898,"208,721",208.721,,,,,,,,,,,,,,
2008,Arkansas,South Region,2874554,437,"191,799",191.799,,,,,,,,,,,,,,
2008,California,West Region,36604337,3101,"780,398",780.398,,,,,,,,,,,,,,
2008,Colorado,West Region,4889730,496,"285,521",285.521,,,,,,,,,,,,,,
2008,Connecticut,Northeast Region,3545579,196,"155,885",155.885,,,,,,,,,,,,,,
2008,Delaware,South Region,883874,95,"18,102",18.102,,,,,,,,,,,,,,
2008,District of Columbia,South Region,580236,134,259,0.259,,,,,,,,,,,,,,
2008,Florida,South Region,18527305,2316,"503,672",503.672,,,,,,,,,,,,,,
2008,Georgia,South Region,9504843,1162,"367,374",367.374,,,,,,,,,,,,,,
2008,Hawaii,West Region,1332213,39,"8,569",8.569,,,,,,,,,,,,,,
2008,Idaho,West Region,1534320,162,"100,457",100.457,,,,,,,,,,,,,,
2008,Illinois,Midwest Region,12747038,1087,"615,941",615.941,,,,,,,,,,,,,,
2008,Indiana,Midwest Region,6424806,716,"219,900",219.9,,,,,,,,,,,,,,
2008,Iowa,Midwest Region,3016734,214,"108,330",108.33,,,,,,,,,,,,,,
2008,Kansas,Midwest Region,2808076,273,"126,084",126.084,,,,,,,,,,,,,,
2008,Kentucky,South Region,4289878,571,"1,881,101",1881.101,,,,,,,,,,,,,,
2008,Louisiana,South Region,4435586,814,"248,355",248.355,,,,,,,,,,,,,,
2008,Maine,Northeast Region,1330509,115,"56,561",56.561,,,,,,,,,,,,,,
2008,Maryland,South Region,5684965,642,"89,583",89.583,,,,,,,,,,,,,,
2008,Massachusetts,Northeast Region,6468967,216,"119,859",119.859,,,,,,,,,,,,,,
2008,Michigan,Midwest Region,9946889,1070,"357,335",357.335,,,,,,,,,,,,,,
2008,Minnesota,Midwest Region,5247018,360,"277,175",277.175,,,,,,,,,,,,,,
2008,Mississippi,South Region,2947806,553,"181,068",181.068,,,,,,,,,,,,,,
2008,Missouri,Midwest Region,5923916,807,"321,487",321.487,,,,,,,,,,,,,,
2008,Montana,West Region,976415,148,"97,599",97.599,,,,,,,,,,,,,,
2008,Nebraska,Midwest Region,1796378,147,"56,589",56.589,,,,,,,,,,,,,,
2008,Nevada,West Region,2653630,391,"95,252",95.252,,,,,,,,,,,,,,
2008,New Hampshire,Northeast Region,1315906,85,"67,293",67.293,,,,,,,,,,,,,,
2008,New Jersey,Northeast Region,8711090,419,"40,525",40.525,,,,,,,,,,,,,,
2008,New Mexico,West Region,2010662,281,"106,131",106.131,,,,,,,,,,,,,,
2008,New York,Northeast Region,19212436,948,"221,920",221.92,,,,,,,,,,,,,,
2008,North Carolina,South Region,9309449,1149,"347,473",347.473,,,,,,,,,,,,,,
2008,North Dakota,Midwest Region,657569,55,"46,832",46.832,,,,,,,,,,,,,,
2008,Ohio,Midwest Region,11515391,1098,"350,014",350.014,,,,,,,,,,,,,,
2008,Oklahoma,South Region,3668976,505,"221,612",221.612,,,,,,,,,,,,,,
2008,Oregon,West Region,3768748,368,"179,887",179.887,,,,,,,,,,,,,,
2008,Pennsylvania,Northeast Region,12612285,1326,"598,544",598.544,,,,,,,,,,,,,,
2008,Rhode Island,Northeast Region,1055003,42,"12,405",12.405,,,,,,,,,,,,,,
2008,South Carolina,South Region,4528996,606,"184,941",184.941,,,,,,,,,,,,,,
2008,South Dakota,Midwest Region,799124,78,"62,489",62.489,,,,,,,,,,,,,,
2008,Tennessee,South Region,6247411,981,"282,819",282.819,,,,,,,,,,,,,,
2008,Texas,South Region,24309039,2574,"944,568",944.568,,,,,,,,,,,,,,
2008,Utah,West Region,2663029,220,"181,592",181.592,,,,,,,,,,,,,,
2008,Vermont,Northeast Region,624151,44,"21,991",21.991,,,,,,,,,,,,,,
2008,Virginia,South Region,7833496,806,"278,974",278.974,,,,,,,,,,,,,,
2008,Washington,West Region,6562231,566,"316,589",316.589,,,,,,,,,,,,,,
2008,West Virginia,South Region,1840310,235,"147,689",147.689,,,,,,,,,,,,,,
2008,Wisconsin,Midwest Region,5640996,425,"186,819",186.819,,,,,,,,,,,,,,
2008,Wyoming,West Region,546043,87,"49,255",49.255,,,,,,,,,,,,,,
2009,Alabama,South Region,4757938,824,"317,868",317.868,,,,,,,,,,,,,,
2009,Alaska,West Region,698895,96,"60,780",60.78,,,,,,,,,,,,,,
2009,Arizona,West Region,6343154,833,"215,379",215.379,,,,,,,,,,,,,,
